Record Length,15000,,Source,CH1
Sample Interval,100000.0000000000000,,Second,Volt
,,,-646100050.000000000000,1.00000
,,,-646000000.000000000000,0.96000
,,,-645900050.000000000000,1.00000
,,,-645800000.000000000000,0.96000
,,,-645700050.000000000000,1.00000
,,,-645600000.000000000000,1.00000
,,,-645500050.000000000000,1.04000
,,,-645400000.000000000000,1.08000
,,,-645300050.000000000000,1.00000
,,,-645200000.000000000000,1.00000
,,,-645100050.000000000000,1.00000
,,,-645000000.000000000000,1.00000
,,,-644900050.000000000000,1.00000
,,,-644800000.000000000000,1.00000
,,,-644700050.000000000000,1.04000
,,,-644600000.000000000000,1.00000
,,,-644500050.000000000000,1.08000
,,,-644400000.000000000000,1.00000
,,,-644300050.000000000000,1.00000
,,,-644200000.000000000000,1.00000
,,,-644100050.000000000000,1.00000
,,,-644000000.000000000000,1.00000
,,,-643900050.000000000000,1.00000
,,,-643800000.000000000000,0.96000
,,,-643700050.000000000000,1.00000
,,,-643600000.000000000000,1.04000
,,,-643500050.000000000000,1.00000
,,,-643400000.000000000000,0.96000
,,,-643300050.000000000000,1.00000
,,,-643200000.000000000000,1.00000
,,,-643100050.000000000000,1.00000
,,,-643000000.000000000000,1.04000
,,,-642900050.000000000000,1.00000
,,,-642800000.000000000000,1.04000
,,,-642700050.000000000000,1.00000
,,,-642600000.000000000000,1.08000
,,,-642500050.000000000000,1.00000
,,,-642400000.000000000000,1.04000
,,,-642300050.000000000000,1.00000
,,,-642200000.000000000000,1.00000
,,,-642100050.000000000000,1.00000
,,,-642000000.000000000000,1.00000
,,,-641900050.000000000000,1.04000
,,,-641800000.000000000000,1.00000
,,,-641700050.000000000000,1.04000
,,,-641600000.000000000000,1.00000
,,,-641500050.000000000000,1.00000
,,,-641400000.000000000000,1.00000
,,,-641300050.000000000000,1.00000
,,,-641200000.000000000000,1.04000
,,,-641100050.000000000000,0.96000
,,,-641000000.000000000000,1.00000
,,,-640900050.000000000000,1.00000
,,,-640800000.000000000000,0.96000
,,,-640700050.000000000000,1.00000
,,,-640600000.000000000000,0.96000
,,,-640500050.000000000000,0.96000
,,,-640400000.000000000000,1.04000
,,,-640300050.000000000000,0.96000
,,,-640200000.000000000000,1.00000
,,,-640100050.000000000000,1.00000
,,,-640000000.000000000000,1.08000
,,,-639900050.000000000000,1.04000
,,,-639800000.000000000000,1.04000
,,,-639700050.000000000000,1.00000
,,,-639600000.000000000000,0.92000
,,,-639500050.000000000000,1.00000
,,,-639400000.000000000000,1.04000
,,,-639300050.000000000000,1.00000
,,,-639200000.000000000000,1.00000
,,,-639100050.000000000000,1.00000
,,,-639000000.000000000000,1.00000
,,,-638900050.000000000000,1.00000
,,,-638800000.000000000000,1.04000
,,,-638700050.000000000000,0.96000
,,,-638600000.000000000000,1.04000
