Record Length,30000,,Source,CH1,CH2
Sample Interval,0.0010000000625,,Second,Volt,Volt
,,,-17.69800000000,-0.02720,-0.05440
,,,-17.69700000000,0.05440,-0.05440
,,,-17.69600125000,0.00,-0.05440
,,,-17.69500125000,0.05440,-0.05440
,,,-17.69400000000,0.05440,-0.10880
,,,-17.69300125000,0.05440,-0.05440
,,,-17.69200125000,0.00,-0.05440
,,,-17.69100000000,0.05440,-0.05440
,,,-17.69000000000,0.05440,-0.02720
,,,-17.68900125000,0.05440,-0.05440
,,,-17.68800125000,0.05440,-0.05440
,,,-17.68700000000,0.05440,-0.02720
,,,-17.68600125000,0.05440,-0.05440
,,,-17.68500125000,0.00,-0.05440
,,,-17.68400000000,0.05440,-0.05440
,,,-17.68300000000,0.05440,-0.05440
,,,-17.68200125000,0.00,-0.05440
,,,-17.68100125000,0.05440,-0.05440
,,,-17.68000000000,0.05440,-0.05440
,,,-17.67900125000,0.05440,-0.02720
,,,-17.67800125000,0.05440,-0.05440
,,,-17.67700000000,0.05440,-0.05440
,,,-17.67600000000,0.05440,-0.05440
,,,-17.67500125000,0.05440,-0.02720
,,,-17.67400125000,0.05440,-0.05440
,,,-17.67300000000,0.05440,-0.02720
,,,-17.67200125000,0.05440,-0.05440
,,,-17.67100125000,0.00,-0.02720
,,,-17.67000000000,0.05440,-0.02720
,,,-17.66900125000,0.05440,-0.05440
,,,-17.66800125000,0.08160,-0.05440
,,,-17.66700125000,0.05440,-0.05440
,,,-17.66600000000,0.05440,-0.02720
,,,-17.66500125000,0.05440,-0.05440
,,,-17.66400125000,0.05440,-0.05440
,,,-17.66300000000,0.05440,-0.05440
,,,-17.66200125000,0.05440,-0.02720
,,,-17.66100125000,0.05440,-0.05440
,,,-17.66000125000,0.05440,-0.05440
,,,-17.65900000000,0.05440,-0.05440
,,,-17.65800125000,0.05440,-0.02720
,,,-17.65700125000,0.05440,-0.02720
,,,-17.65600000000,0.00,-0.05440
,,,-17.65500125000,0.05440,-0.02720
,,,-17.65400125000,0.05440,-0.05440
,,,-17.65300125000,0.05440,-0.02720
,,,-17.65200000000,0.05440,-0.02720
,,,-17.65100125000,0.05440,-0.05440
,,,-17.65000125000,0.00,-0.02720
,,,-17.64900000000,0.05440,-0.02720
,,,-17.64800125000,0.00,-0.02720
,,,-17.64700125000,0.05440,-0.05440
,,,-17.64600000000,0.05440,-0.02720
,,,-17.64500000000,0.00,-0.05440
,,,-17.64400125000,0.05440,-0.05440
,,,-17.64300125000,0.05440,-0.05440
,,,-17.64200000000,0.05440,-0.05440
,,,-17.64100125000,0.05440,-0.05440
,,,-17.64000125000,0.00,-0.05440
,,,-17.63900000000,0.05440,-0.02720
,,,-17.63800000000,0.05440,-0.05440
,,,-17.63700125000,0.00,-0.02720
,,,-17.63600125000,0.05440,-0.05440
,,,-17.63500000000,0.00,-0.02720
,,,-17.63400125000,0.08160,-0.02720
,,,-17.63300125000,0.05440,-0.05440
,,,-17.63200000000,0.05440,-0.05440
,,,-17.63100000000,0.05440,-0.05440
,,,-17.63000125000,0.00,-0.05440
,,,-17.62900125000,0.05440,-0.05440
,,,-17.62800000000,0.05440,-0.05440
,,,-17.62700125000,0.00,-0.05440
,,,-17.62600125000,0.05440,-0.02720
,,,-17.62500000000,0.05440,-0.05440
,,,-17.62400000000,0.05440,-0.05440
,,,-17.62300125000,0.05440,-0.05440
,,,-17.62200125000,0.00,-0.02720
,,,-17.62100000000,0.08160,-0.05440
,,,-17.62000125000,0.05440,-0.05440
,,,-17.61900125000,0.05440,-0.05440
,,,-17.61800000000,0.05440,-0.05440
,,,-17.61700000000,0.00,-0.02720
,,,-17.61600125000,0.00,-0.05440
,,,-17.61500125000,0.05440,-0.05440
,,,-17.61400000000,0.05440,-0.02720
,,,-17.61300125000,0.05440,-0.02720
,,,-17.61200125000,0.05440,-0.02720
,,,-17.61100000000,0.05440,-0.05440
,,,-17.61000000000,0.00,-0.02720
,,,-17.60900125000,0.00,-0.05440
,,,-17.60800125000,0.00,-0.05440
,,,-17.60700000000,0.05440,-0.02720
,,,-17.60600125000,0.00,-0.05440
,,,-17.60500125000,0.05440,-0.05440
,,,-17.60400000000,0.05440,-0.05440
,,,-17.60300125000,0.05440,-0.05440
,,,-17.60200125000,0.05440,-0.05440
,,,-17.60100125000,0.05440,-0.05440
,,,-17.60000000000,0.05440,-0.05440
,,,-17.59900125000,0.05440,-0.05440
,,,-17.59800125000,0.05440,-0.05440
,,,-17.59700000000,0.05440,-0.05440
,,,-17.59600125000,0.05440,-0.05440
,,,-17.59500125000,0.05440,-0.05440
,,,-17.59400125000,0.05440,-0.05440
,,,-17.59300000000,0.05440,-0.05440
,,,-17.59200125000,0.05440,-0.02720
,,,-17.59100125000,0.00,-0.02720
,,,-17.59000000000,0.05440,-0.05440
,,,-17.58900125000,0.00,-0.02720
,,,-17.58800125000,0.05440,-0.02720
,,,-17.58700000000,0.05440,-0.05440
,,,-17.58600000000,0.00,-0.05440
,,,-17.58500125000,0.05440,-0.05440
,,,-17.58400125000,0.00,-0.05440
,,,-17.58300000000,0.05440,-0.05440
,,,-17.58200125000,0.00,-0.05440
,,,-17.58100125000,0.00,-0.05440
,,,-17.58000000000,0.05440,-0.02720
,,,-17.57900000000,0.00,-0.05440
,,,-17.57800125000,0.05440,-0.05440
,,,-17.57700125000,0.05440,-0.02720
,,,-17.57600000000,0.00,-0.02720
,,,-17.57500125000,0.05440,-0.02720
,,,-17.57400125000,0.05440,-0.05440
,,,-17.57300000000,0.00,-0.05440
,,,-17.57200000000,0.00,-0.05440
,,,-17.57100125000,0.05440,-0.02720
,,,-17.57000125000,0.05440,-0.02720
,,,-17.56900000000,0.05440,-0.02720
,,,-17.56800125000,0.05440,-0.02720
,,,-17.56700125000,0.05440,-0.10880
,,,-17.56600000000,0.05440,-0.05440
,,,-17.56500000000,0.05440,-0.05440
,,,-17.56400125000,0.05440,-0.05440
,,,-17.56300125000,0.05440,-0.05440
,,,-17.56200000000,0.05440,-0.02720
,,,-17.56100125000,0.05440,-0.05440
,,,-17.56000125000,0.05440,-0.02720
,,,-17.55900000000,0.05440,-0.02720
,,,-17.55800000000,0.00,-0.05440
,,,-17.55700125000,0.05440,-0.02720
,,,-17.55600125000,0.05440,-0.05440
,,,-17.55500000000,0.05440,-0.05440
,,,-17.55400125000,0.05440,-0.05440
,,,-17.55300125000,0.05440,-0.05440
,,,-17.55200000000,0.05440,-0.05440
,,,-17.55100000000,0.05440,-0.02720
,,,-17.55000125000,0.00,-0.02720
,,,-17.54900125000,0.05440,-0.05440
,,,-17.54800000000,0.05440,-0.05440
,,,-17.54700125000,0.00,-0.05440
,,,-17.54600125000,0.05440,-0.05440
,,,-17.54500000000,0.00,-0.05440
,,,-17.54400125000,0.00,-0.05440
,,,-17.54300125000,0.05440,-0.05440
,,,-17.54200125000,0.00,-0.05440
,,,-17.54100000000,0.05440,-0.05440
,,,-17.54000125000,0.05440,-0.02720
,,,-17.53900125000,0.05440,-0.05440
,,,-17.53800000000,0.00,-0.02720
,,,-17.53700125000,0.08160,-0.02720
,,,-17.53600125000,0.05440,-0.05440
,,,-17.53500125000,0.05440,-0.05440
,,,-17.53400000000,0.05440,-0.02720
,,,-17.53300125000,0.05440,-0.05440
,,,-17.53200125000,0.05440,-0.02720
,,,-17.53100000000,0.05440,-0.02720
,,,-17.53000125000,0.05440,-0.05440
,,,-17.52900125000,0.00,-0.02720
,,,-17.52800125000,0.05440,-0.05440
,,,-17.52700000000,0.05440,-0.02720
,,,-17.52600125000,0.00,-0.02720
,,,-17.52500125000,0.05440,-0.05440
,,,-17.52400000000,0.00,-0.05440
,,,-17.52300125000,0.05440,-0.02720
,,,-17.52200125000,0.05440,-0.02720
,,,-17.52100000000,0.05440,-0.05440
,,,-17.52000000000,0.05440,-0.02720
,,,-17.51900125000,0.05440,-0.05440
,,,-17.51800125000,0.08160,-0.05440
,,,-17.51700000000,0.05440,-0.05440
,,,-17.51600125000,0.05440,-0.02720
,,,-17.51500125000,0.00,-0.05440
,,,-17.51400000000,0.05440,-0.02720
,,,-17.51300000000,0.05440,-0.05440
,,,-17.51200125000,0.05440,-0.05440
,,,-17.51100125000,0.05440,-0.05440
,,,-17.51000000000,0.00,-0.05440
,,,-17.50900125000,0.05440,-0.02720
,,,-17.50800125000,0.05440,-0.05440
,,,-17.50700000000,0.00,-0.05440
,,,-17.50600000000,0.00,-0.05440
,,,-17.50500125000,0.05440,-0.02720
,,,-17.50400125000,0.05440,-0.02720
,,,-17.50300000000,0.05440,-0.02720
,,,-17.50200125000,0.05440,-0.02720
,,,-17.50100125000,0.05440,-0.02720
,,,-17.50000000000,0.05440,-0.05440
,,,-17.49900000000,0.05440,-0.05440
,,,-17.49800125000,0.00,-0.02720
,,,-17.49700125000,0.00,-0.05440
,,,-17.49600000000,0.05440,-0.02720
,,,-17.49500125000,0.00,-0.05440
,,,-17.49400125000,0.05440,-0.02720
,,,-17.49300000000,0.05440,-0.05440
,,,-17.49200000000,0.05440,-0.05440
,,,-17.49100125000,0.05440,-0.05440
,,,-17.49000125000,0.05440,-0.05440
,,,-17.48900000000,0.05440,-0.05440
,,,-17.48800125000,0.05440,-0.05440
,,,-17.48700125000,0.05440,-0.05440
,,,-17.48600000000,0.05440,-0.05440
,,,-17.48500000000,0.05440,-0.05440
,,,-17.48400125000,0.05440,-0.02720
,,,-17.48300125000,0.00,-0.05440
,,,-17.48200000000,0.05440,-0.02720
,,,-17.48100125000,0.05440,-0.02720
,,,-17.48000125000,0.05440,-0.05440
,,,-17.47900000000,0.05440,-0.05440
,,,-17.47800125000,0.05440,-0.02720
,,,-17.47700125000,0.00,-0.05440
,,,-17.47600125000,0.00,-0.02720
,,,-17.47500000000,0.00,-0.05440
,,,-17.47400125000,0.00,-0.02720
,,,-17.47300125000,0.05440,-0.02720
,,,-17.47200000000,0.05440,-0.05440
,,,-17.47100125000,0.05440,-0.02720
,,,-17.47000125000,0.05440,-0.05440
,,,-17.46900125000,0.05440,-0.05440
,,,-17.46800000000,0.05440,-0.05440
,,,-17.46700125000,0.05440,-0.02720
,,,-17.46600125000,0.05440,-0.05440
,,,-17.46500000000,0.05440,-0.05440
,,,-17.46400125000,0.05440,-0.05440
,,,-17.46300125000,0.00,-0.05440
,,,-17.46200000000,0.05440,-0.02720
,,,-17.46100000000,0.05440,-0.02720
,,,-17.46000125000,0.05440,-0.02720
,,,-17.45900125000,0.00,-0.05440
,,,-17.45800000000,0.05440,-0.05440
,,,-17.45700125000,0.05440,-0.05440
,,,-17.45600125000,0.05440,-0.05440
,,,-17.45500000000,0.05440,-0.02720
,,,-17.45400000000,0.00,-0.02720
,,,-17.45300125000,0.05440,-0.02720
,,,-17.45200125000,0.05440,-0.02720
,,,-17.45100000000,0.05440,-0.05440
,,,-17.45000125000,0.00,-0.02720
,,,-17.44900125000,0.05440,-0.02720
,,,-17.44800000000,0.05440,-0.05440
,,,-17.44700000000,0.05440,-0.05440
,,,-17.44600125000,0.05440,-0.05440
,,,-17.44500125000,0.05440,-0.05440
,,,-17.44400000000,0.05440,-0.02720
,,,-17.44300125000,0.05440,-0.05440
,,,-17.44200125000,0.05440,-0.05440
,,,-17.44100000000,0.00,-0.05440
,,,-17.44000000000,0.05440,-0.02720
,,,-17.43900125000,0.05440,-0.02720
,,,-17.43800125000,0.05440,-0.05440
,,,-17.43700000000,0.05440,-0.05440
,,,-17.43600125000,0.05440,-0.05440
,,,-17.43500125000,0.05440,-0.05440
,,,-17.43400000000,0.05440,-0.05440
,,,-17.43300000000,0.05440,-0.05440
,,,-17.43200125000,0.00,-0.05440
,,,-17.43100125000,0.05440,-0.02720
,,,-17.43000000000,0.05440,-0.02720
,,,-17.42900125000,0.00,-0.05440
,,,-17.42800125000,0.05440,-0.05440
,,,-17.42700000000,0.05440,-0.05440
,,,-17.42600000000,0.05440,-0.05440
,,,-17.42500125000,0.05440,-0.05440
,,,-17.42400125000,0.00,-0.05440
,,,-17.42300000000,0.05440,-0.02720
,,,-17.42200125000,0.00,-0.05440
,,,-17.42100125000,0.05440,-0.05440
,,,-17.42000000000,0.05440,-0.05440
,,,-17.41900125000,0.00,-0.02720
,,,-17.41800125000,0.08160,-0.02720
,,,-17.41700125000,0.05440,-0.02720
,,,-17.41600000000,0.05440,-0.05440
,,,-17.41500125000,0.05440,-0.02720
,,,-17.41400125000,0.05440,-0.05440
,,,-17.41300000000,0.05440,-0.02720
