Record Length,30000,,Source,CH1,CH2
Sample Interval,0.0001000000000,,Second,Volt,Volt
,,,-4.47970000000,0.81024,-0.04000
,,,-4.47960000000,0.81024,-0.04000
,,,-4.47950000000,0.81024,-0.08000
,,,-4.47939950000,0.81024,-0.08000
,,,-4.47930000000,0.81024,-0.08000
,,,-4.47920000000,0.79336,-0.04000
,,,-4.47910000000,0.81024,-0.08000
,,,-4.47900000000,0.81024,-0.08000
,,,-4.47890000000,0.79336,-0.08000
,,,-4.47880000000,0.81024,-0.04000
,,,-4.47869950000,0.81024,-0.08000
,,,-4.47860000000,0.79336,-0.08000
,,,-4.47850000000,0.81024,-0.08000
,,,-4.47840000000,0.81024,-0.08000
,,,-4.47830000000,0.81024,-0.08000
,,,-4.47820000000,0.81024,-0.04000
,,,-4.47810000000,0.81024,-0.04000
,,,-4.47799950000,0.79336,-0.08000
,,,-4.47790000000,0.81024,-0.04000
,,,-4.47780000000,0.81024,-0.04000
,,,-4.47770000000,0.81024,-0.04000
,,,-4.47760000000,0.79336,-0.04000
,,,-4.47750000000,0.81024,-0.04000
,,,-4.47740000000,0.79336,-0.04000
,,,-4.47729950000,0.81024,-0.04000
,,,-4.47720000000,0.81024,-0.04000
,,,-4.47710000000,0.79336,-0.04000
,,,-4.47700000000,0.79336,-0.04000
,,,-4.47690000000,0.79336,-0.08000
,,,-4.47680000000,0.79336,-0.04000
,,,-4.47670000000,0.81024,-0.08000
,,,-4.47659950000,0.79336,-0.04000
,,,-4.47650000000,0.81024,-0.04000
,,,-4.47640000000,0.79336,-0.04000
,,,-4.47630000000,0.81024,-0.04000
,,,-4.47620000000,0.79336,-0.04000
,,,-4.47610000000,0.79336,-0.04000
,,,-4.47600000000,0.81024,-0.08000
,,,-4.47589950000,0.81024,-0.04000
,,,-4.47580000000,0.81024,-0.08000
,,,-4.47570000000,0.81024,-0.08000
,,,-4.47560000000,0.79336,-0.08000
,,,-4.47550000000,0.81024,-0.08000
,,,-4.47540000000,0.81024,-0.04000
,,,-4.47530000000,0.79336,-0.04000
,,,-4.47519950000,0.81024,-0.04000
,,,-4.47510000000,0.81024,-0.04000
