"TIME","PWM","y6"
2.542342246,4.99861,0.946773
2.546561857,4.99867,0.93648
2.546747335,4.99868,0.936027
2.548478457,4.9987,0.932033
2.550456883,4.99872,0.927628
2.554413734,4.99877,0.919338
2.562327436,4.99886,0.904866
2.564305862,4.99888,0.901778
2.568262713,4.99893,0.896034
2.576609196,4.99902,0.886208
2.57686616,4.99902,0.885956
2.576989328,4.99902,0.885835
2.57785489,4.99903,0.885031
2.578844103,4.99904,0.884112
2.580822528,4.99905,0.882452
2.584779379,4.99908,0.879688
2.592693082,4.99913,0.876393
2.608520487,4.99924,0.878788
2.640175297,4.99947,0.919149
2.643142935,4.99949,0.925402
2.647099787,4.99951,0.934335
2.648336303,4.99952,0.93731
2.64926369,4.99953,0.939542
2.653096889,4.99954,0.949257
2.654580708,4.99955,0.953195
2.656559134,4.99956,0.958601
2.660515985,4.99958,0.96994
2.668576524,4.99961,0.995182
2.669442085,4.99961,0.998081
2.670431298,4.99962,1.0014
2.672409724,4.99962,1.00819
2.676366575,4.99963,1.02227
2.684280277,4.99965,1.05241
2.700107682,4.9997,1.12022
2.731762492,4.99978,1.28279
2.741654621,4.99981,1.34166
2.746600685,4.99982,1.37173
2.74857911,4.99982,1.38401
2.751283989,4.99983,1.40081
2.752767808,4.99983,1.41018
2.754746234,4.99984,1.42267
2.759182235,4.99984,1.45115
2.76264448,4.99985,1.47372
2.766601331,4.99985,1.49987
2.774515034,4.99986,1.55325
2.790342439,4.99988,1.66384
2.821997249,4.99991,1.89672
2.829910951,4.99991,1.95746
2.85068442,4.99993,2.11859
2.85760891,4.99994,2.1728
2.859772813,4.99994,2.18974
2.869170335,4.99995,2.26361
2.877084037,4.99995,2.32581
2.892911442,4.99996,2.45008
2.924566252,4.99997,2.69538
2.932479955,4.99997,2.75563
2.94830736,4.99998,2.8747
2.97996217,4.99998,3.10463
2.987875872,4.99998,3.1599
3.003703277,4.99998,3.26827
3.035358087,4.99998,3.47407
3.065930874,4.99999,3.65791
3.100317224,4.99999,3.84637
3.158689526,5,4.12209
3.211588162,5,4.32622
3.224812821,5,4.36937
3.251262139,5,4.45003
3.304160775,5,4.5868
3.317385434,5,4.61507
3.343834752,5,4.66749
3.396733388,5,4.75477
3.409958048,5,4.77241
3.436407366,5,4.80488
3.489306002,5,4.85815
3.502530661,5,4.8687
3.528979979,5,4.88803
3.581878615,5,4.91932
3.595103274,5,4.92541
3.621552592,5,4.93652
3.674451229,5,4.95429
3.736839457,5,4.9691
3.736848418,5,4.9691
3.739459618,5,4.96956
3.747323938,5,4.97096
3.778781217,5,4.97583
3.820724257,5,4.98095
3.883113987,5,4.98636
3.883121667,5,4.98636
3.888354307,5,4.98668
3.904082947,5,4.98764
3.966997507,5,4.99053
4.02937561,5,4.99238
4.03985625,5,4.9926
4.11325657,5,4.99375
4.175644895,5,4.99435
4.175653855,5,4.99435
4.178265055,5,4.99437
4.196615135,5,4.99449
4.217187562,5,4.9946
4.217187572,0.00998007,4.9946
4.217197792,0.00997904,4.9946
4.217228512,0.00997596,4.9946
4.21764306,0.00993481,4.99461
4.217820338,0.00991721,4.99461
4.219391826,0.0097629,4.99461
4.22086901,0.00962004,4.99462
4.222838588,0.00943278,4.99463
4.224817828,0.00924826,4.99464
4.227150478,0.00903542,4.99465
4.230022171,0.00878009,4.99466
4.23382089,0.00845334,4.99467
4.23971795,0.00796985,4.99468
4.241990116,0.00779156,4.99469
4.245019671,0.00755961,4.9947
4.25107878,0.00711588,4.99472
4.26133529,0.00642231,4.99475
4.262669824,0.0063379,4.99475
4.26600616,0.0061309,4.99474
4.26819563,0.00599853,4.99473
4.268572922,0.00597599,4.99473
4.268616744,0.00597337,4.99473
4.269909574,0.0058968,4.99472
4.271244109,0.00581878,4.9947
4.273913177,0.00566581,4.99468
4.279251314,0.00537173,4.99462
4.289927587,0.00482782,4.99422
4.292517101,0.0047062,4.99413
4.29769613,0.00447026,4.99393
4.308054186,0.00403147,4.99308
4.328770299,0.00327427,4.98924
4.331743643,0.0031799,4.98869
4.337690332,0.00299767,4.98656
4.349583709,0.00266228,4.98231
4.35330039,0.00256652,4.98045
4.355455538,0.00251198,4.97937
4.355456627,0.00251195,4.97937
4.356198511,0.00249342,4.97897
4.35842852,0.00243854,4.97769
4.361401864,0.00236723,4.97597
4.367348553,0.00223075,4.97204
4.37924193,0.00198052,4.96234
4.403028685,0.00155837,4.93416
4.408975373,0.00147106,4.92477
4.420868751,0.00130806,4.90372
4.425187438,0.00125297,4.89523
4.425187447,4.99127,4.89523
4.425193951,4.99127,4.89522
4.425210236,4.99127,4.89519
4.427967846,4.99151,4.88952
4.43074717,4.99174,4.88359
4.437695478,4.99227,4.86773
4.446945414,4.99298,4.84435
4.447021412,4.99298,4.84416
4.447072302,4.99298,4.84402
4.447081802,4.99298,4.84399
4.447142871,4.99299,4.84383
4.44744686,4.99301,4.84302
4.452658091,4.99334,4.82862
4.458216738,4.99368,4.81232
4.469464313,4.99439,4.77616
4.469985436,4.99442,4.77449
4.474849252,4.99465,4.75754
4.480407899,4.99492,4.73721
4.491525193,4.99546,4.69354
4.496389009,4.99569,4.67304
4.499168333,4.99583,4.66087
4.503207037,4.99599,4.6432
4.503228751,4.99599,4.6431
4.505964647,4.99609,4.63073
4.514302618,4.99639,4.59163
4.525419912,4.99679,4.53641
4.5476545,4.99739,4.41686
4.559466625,4.9977,4.34851
4.562261555,4.99778,4.33205
4.562432548,4.99778,4.33105
4.567817488,4.9979,4.299
4.580671859,4.99815,4.22101
4.582517503,4.99818,4.20965
4.585600815,4.99824,4.19068
4.587815589,4.99828,4.17698
4.590573199,4.99832,4.15993
4.610028463,4.99859,4.03901
4.632263051,4.9989,3.90288
4.637821698,4.99896,3.86961
4.648938992,4.99905,3.80424
4.659708871,4.99914,3.7429
