Record Length,30000,,Source,CH1,CH2
Sample Interval,0.0020000001563,,Second,Volt,Volt
,,,-29.44400250000,0.00,0.07920
,,,-29.44200250000,0.04000,0.03960
,,,-29.44000000000,0.00,0.03960
,,,-29.43800250000,0.00,0.03960
,,,-29.43600000000,0.00,0.03960
,,,-29.43400250000,0.00,0.03960
,,,-29.43200000000,0.00,0.03960
,,,-29.43000250000,0.00,0.03960
,,,-29.42800250000,0.00,0.03960
,,,-29.42600000000,0.00,0.03960
,,,-29.42400250000,0.00,0.03960
,,,-29.42200000000,0.00,0.03960
,,,-29.42000250000,0.00,0.00
,,,-29.41800000000,0.00,0.03960
,,,-29.41600250000,0.00,0.03960
,,,-29.41400250000,0.00,0.03960
,,,-29.41200000000,-0.04000,0.03960
,,,-29.41000250000,0.00,0.03960
,,,-29.40800000000,0.00,0.03960
,,,-29.40600250000,0.00,0.03960
,,,-29.40400000000,0.00,0.03960
,,,-29.40200250000,0.00,0.03960
,,,-29.40000250000,0.00,0.03960
,,,-29.39800000000,0.00,0.00
,,,-29.39600250000,0.00,0.03960
,,,-29.39400000000,0.00,0.07920
,,,-29.39200250000,0.00,0.03960
,,,-29.39000250000,0.00,0.03960
,,,-29.38800000000,0.00,0.03960
,,,-29.38600250000,0.00,0.03960
,,,-29.38400000000,0.00,0.03960
,,,-29.38200250000,0.00,0.03960
,,,-29.38000000000,0.00,0.03960
,,,-29.37800250000,0.00,0.03960
,,,-29.37600250000,0.04000,0.07920
,,,-29.37400000000,0.00,0.03960
,,,-29.37200250000,0.00,0.03960
,,,-29.37000000000,0.00,0.03960
,,,-29.36800250000,0.00,0.03960
,,,-29.36600000000,0.00,0.03960
,,,-29.36400250000,0.00,0.03960
,,,-29.36200250000,0.00,0.03960
,,,-29.36000000000,0.00,0.07920
,,,-29.35800250000,-0.04000,0.03960
,,,-29.35600000000,0.00,0.03960
,,,-29.35400250000,0.00,0.00
,,,-29.35200000000,0.00,0.07920
,,,-29.35000250000,0.00,0.03960
,,,-29.34800250000,-0.04000,0.03960
,,,-29.34600000000,0.00,0.03960
,,,-29.34400250000,0.00,0.03960
,,,-29.34200000000,0.00,0.07920
,,,-29.34000250000,0.04000,0.03960
,,,-29.33800250000,0.00,0.03960
,,,-29.33600000000,0.00,0.03960
,,,-29.33400250000,0.00,0.03960
,,,-29.33200000000,0.00,0.03960
,,,-29.33000250000,0.00,0.03960
,,,-29.32800000000,0.00,0.03960
,,,-29.32600250000,0.00,0.03960
,,,-29.32400250000,0.00,0.03960
,,,-29.32200000000,0.00,0.03960
,,,-29.32000250000,0.00,0.03960
,,,-29.31800000000,0.00,0.03960
,,,-29.31600250000,0.00,0.03960
,,,-29.31400000000,0.00,0.03960
,,,-29.31200250000,0.00,0.03960
,,,-29.31000250000,0.04000,0.03960
,,,-29.30800000000,0.00,0.03960
,,,-29.30600250000,0.00,0.03960
,,,-29.30400000000,-0.04000,0.07920
,,,-29.30200250000,0.00,0.03960
,,,-29.30000000000,-0.04000,0.07920
,,,-29.29800250000,0.00,0.03960
,,,-29.29600250000,0.00,0.03960
,,,-29.29400000000,0.00,0.03960
,,,-29.29200250000,0.00,0.03960
,,,-29.29000000000,0.00,0.00
,,,-29.28800250000,-0.04000,0.03960
,,,-29.28600000000,0.00,0.03960
,,,-29.28400250000,0.00,0.03960
,,,-29.28200250000,0.00,0.03960
,,,-29.28000000000,0.00,0.03960
,,,-29.27800250000,0.00,0.03960
,,,-29.27600000000,0.00,0.03960
,,,-29.27400250000,0.04000,0.03960
,,,-29.27200250000,0.00,0.03960
,,,-29.27000000000,0.00,0.03960
,,,-29.26800250000,0.04000,0.03960
,,,-29.26600000000,0.00,0.03960
,,,-29.26400250000,0.00,0.03960
,,,-29.26200000000,0.00,0.03960
,,,-29.26000250000,0.00,0.03960
,,,-29.25800250000,0.00,0.03960
,,,-29.25600000000,0.00,0.03960
,,,-29.25400250000,0.00,0.03960
,,,-29.25200000000,0.00,0.03960
,,,-29.25000250000,0.00,0.03960
,,,-29.24800000000,-0.04000,0.03960
,,,-29.24600250000,0.00,0.03960
,,,-29.24400250000,-0.04000,0.03960
,,,-29.24200000000,-0.04000,0.03960
,,,-29.24000250000,0.00,0.03960
,,,-29.23800000000,0.00,0.03960
,,,-29.23600250000,0.00,0.03960
,,,-29.23400000000,0.00,0.03960
,,,-29.23200250000,0.00,0.03960
,,,-29.23000250000,0.00,0.03960
,,,-29.22800000000,0.00,0.03960
,,,-29.22600250000,0.00,0.03960
,,,-29.22400000000,-0.04000,0.03960
,,,-29.22200250000,0.00,0.03960
,,,-29.22000000000,0.00,0.03960
,,,-29.21800250000,0.00,0.03960
,,,-29.21600250000,0.00,0.03960
,,,-29.21400000000,0.00,0.03960
,,,-29.21200250000,0.00,0.03960
,,,-29.21000000000,0.04000,0.03960
,,,-29.20800250000,0.04000,0.03960
,,,-29.20600250000,0.04000,0.03960
,,,-29.20400000000,0.04000,0.03960
,,,-29.20200250000,0.04000,0.03960
,,,-29.20000000000,-0.04000,0.03960
,,,-29.19800250000,0.00,0.07920
,,,-29.19600000000,0.00,0.03960
,,,-29.19400250000,0.00,0.03960
,,,-29.19200250000,0.00,0.03960
,,,-29.19000000000,0.00,0.03960
,,,-29.18800250000,0.00,0.03960
,,,-29.18600000000,0.00,0.03960
,,,-29.18400250000,-0.04000,0.03960
,,,-29.18200000000,0.00,0.03960
,,,-29.18000250000,0.00,0.03960
,,,-29.17800250000,0.00,0.03960
,,,-29.17600000000,0.04000,0.03960
,,,-29.17400250000,0.04000,0.03960
,,,-29.17200000000,0.04000,0.00
,,,-29.17000250000,0.00,0.03960
,,,-29.16800000000,0.00,0.03960
,,,-29.16600250000,0.00,0.03960
,,,-29.16400250000,-0.04000,0.03960
,,,-29.16200000000,0.00,0.03960
,,,-29.16000250000,0.00,0.03960
,,,-29.15800000000,0.00,0.03960
,,,-29.15600250000,-0.04000,0.03960
,,,-29.15400000000,0.00,0.03960
,,,-29.15200250000,0.04000,0.03960
,,,-29.15000250000,0.00,0.03960
,,,-29.14800000000,0.00,0.03960
,,,-29.14600250000,0.00,0.03960
,,,-29.14400000000,0.00,0.03960
,,,-29.14200250000,0.00,0.03960
,,,-29.14000250000,0.00,0.03960
,,,-29.13800000000,0.00,0.03960
,,,-29.13600250000,0.00,0.03960
,,,-29.13400000000,0.00,0.00
,,,-29.13200250000,0.00,0.03960
,,,-29.13000000000,0.00,0.03960
,,,-29.12800250000,0.00,0.03960
,,,-29.12600250000,0.00,0.03960
,,,-29.12400000000,0.00,0.03960
,,,-29.12200250000,0.00,0.03960
,,,-29.12000000000,0.00,0.03960
,,,-29.11800250000,0.00,0.03960
,,,-29.11600000000,-0.04000,0.03960
,,,-29.11400250000,-0.04000,0.07920
,,,-29.11200250000,0.00,0.03960
,,,-29.11000000000,0.00,0.00
,,,-29.10800250000,0.00,0.07920
,,,-29.10600000000,0.00,0.03960
